id,rat,sitename,sitecode,anteast,antnorth,antlat,antlng,txid,nename,flacode,nodeid,sec,cellid,localcellid,cellname,cgi,cellradius,preamblefmt,dlarfcn,dlcellbw,identity,rootseq,tac,rac,pwr,txrxmode,antenna,azimuth,height,etilt,mtilt,vendor,operator,beamwidth,gain
7281,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L07-2,004-002_KUMU_C1_Kumeu,KUMU,,2,,,004-KUMU-L07-1-2,,,,,,,,,,,,,160,31.7,2,0,Huawei,2degrees,,
7283,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L07-3,004-002_KUMU_C1_Kumeu,KUMU,,3,,,004-KUMU-L07-1-3,,,,,,,,,,,,,290,31.7,3,0,Huawei,2degrees,,
7284,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L07-1,004-002_KUMU_C1_Kumeu,KUMU,,1,,,004-KUMU-L07-1-1,,,,,,,,,,,,,50,31.7,3,0,Huawei,2degrees,,
7285,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L18-3,004-002_KUMU_C1_Kumeu,KUMU,,3,,,004-KUMU-L18-1-3,,,,,,,,,,,,,290,31.7,2.5,0,Huawei,2degrees,,
7286,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L09-3,004-002_KUMU_C1_Kumeu,KUMU,,3,,,004-KUMU-L09-1-3,,,,,,,,,,,,,290,31.7,3,0,Huawei,2degrees,,
7287,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L18-2,004-002_KUMU_C1_Kumeu,KUMU,,2,,,004-KUMU-L18-1-2,,,,,,,,,,,,,160,31.7,2.5,0,Huawei,2degrees,,
7288,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L18-1,004-002_KUMU_C1_Kumeu,KUMU,,1,,,004-KUMU-L18-1-1,,,,,,,,,,,,,50,31.7,2.5,0,Huawei,2degrees,,
7289,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L09-1,004-002_KUMU_C1_Kumeu,KUMU,,1,,,004-KUMU-L09-1-1,,,,,,,,,,,,,50,31.7,3,0,Huawei,2degrees,,
7290,4G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-L09-2,004-002_KUMU_C1_Kumeu,KUMU,,2,,,004-KUMU-L09-1-2,,,,,,,,,,,,,160,31.7,2,0,Huawei,2degrees,,
19095,3G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-U21-3,RNC01KPR,KUMU,,3,,,004-KUMU-U21-1-3,,,,,,,,,,,,,290,31.7,2.5,0,Huawei,2degrees,,
19096,3G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-U21-2,RNC01KPR,KUMU,,2,,,004-KUMU-U21-1-2,,,,,,,,,,,,,160,31.7,2.5,0,Huawei,2degrees,,
19097,3G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-U21-1,RNC01KPR,KUMU,,1,,,004-KUMU-U21-1-1,,,,,,,,,,,,,50,31.7,2.5,0,Huawei,2degrees,,
19259,3G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-U09-3,RNC01KPR,KUMU,,3,,,004-KUMU-U09-1-3,,,,,,,,,,,,,290,31.7,3,0,Huawei,2degrees,,
19260,3G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-U09-2,RNC01KPR,KUMU,,2,,,004-KUMU-U09-1-2,,,,,,,,,,,,,160,31.7,2,0,Huawei,2degrees,,
19261,3G,AKL-004-002-A,004-002,2649566,6490524,-36.776493,174.558905,004-KUMU-U09-1,RNC01KPR,KUMU,,1,,,004-KUMU-U09-1-1,,,,,,,,,,,,,50,31.7,3,0,Huawei,2degrees,,
2582,4G,AKL-004-003-E,004-003,2654516,6494179,-36.742733,174.613569,004-RVRH-L07-2,004-003_RVRH_B1_Riverhead,RVRH,,2,,,004-RVRH-L07-1-2,,,,,,,,,,,,,140,23.3,7,0,Ericsson,2degrees,,
2583,4G,AKL-004-003-E,004-003,2654516,6494179,-36.742733,174.613569,004-RVRH-L07-1,004-003_RVRH_B1_Riverhead,RVRH,,1,,,004-RVRH-L07-1-1,,,,,,,,,,,,,40,23.3,7,0,Ericsson,2degrees,,
2584,4G,AKL-004-003-E,004-003,2654516,6494179,-36.742733,174.613569,004-RVRH-L09-3,004-003_RVRH_B1_Riverhead,RVRH,,3,,,004-RVRH-L09-1-3,,,,,,,,,,,,,240,23.3,3,0,Ericsson,2degrees,,
2585,4G,AKL-004-003-E,004-003,2654516,6494179,-36.742733,174.613569,004-RVRH-L18-1,004-003_RVRH_B1_Riverhead,RVRH,,1,,,004-RVRH-L18-1-1,,,,,,,,,,,,,40,23.3,7,0,Ericsson,2degrees,,
2586,4G,AKL-004-003-E,004-003,2654516,6494179,-36.742733,174.613569,004-RVRH-L07-3,004-003_RVRH_B1_Riverhead,RVRH,,3,,,004-RVRH-L07-1-3,,,,,,,,,,,,,240,23.3,3,0,Ericsson,2degrees,,
2587,4G,AKL-004-003-E,004-003,2654516,6494179,-36.742733,174.613569,004-RVRH-L09-2,004-003_RVRH_B1_Riverhead,RVRH,,2,,,004-RVRH-L09-1-2,,,,,,,,,,,,,140,23.3,7,0,Ericsson,2degrees,,
