"Object","Date","Hour","datetimestamp","PRB Avail","PRB Used DL","PRB Used UL","PRB Utilization DL","PRB Utilization UL"
"004-KRKH-L07-1-1","2024-08-01 00:00:00",0,"2024-08-01 00:00:00",50,2.50,2.50,5.00,5.00
"004-KRKH-L07-1-1","2024-08-01 00:00:00",1,"2024-08-01 01:00:00",50,2.50,2.58,5.00,5.17
"004-KRKH-L07-1-1","2024-08-01 00:00:00",2,"2024-08-01 02:00:00",50,6.83,2.50,13.67,5.00
"004-KRKH-L07-1-1","2024-08-01 00:00:00",3,"2024-08-01 03:00:00",50,12.83,2.50,25.67,5.00
"004-KRKH-L07-1-1","2024-08-01 00:00:00",4,"2024-08-01 04:00:00",50,13.00,2.50,26.00,5.00
"004-KRKH-L07-1-1","2024-08-01 00:00:00",5,"2024-08-01 05:00:00",50,4.92,2.50,9.83,5.00
"004-KRKH-L07-1-1","2024-08-01 00:00:00",6,"2024-08-01 06:00:00",50,5.67,2.50,11.33,5.00
"004-KRKH-L07-1-1","2024-08-01 00:00:00",7,"2024-08-01 07:00:00",50,7.00,2.58,14.00,5.17
"004-KRKH-L07-1-1","2024-08-01 00:00:00",8,"2024-08-01 08:00:00",50,11.08,3.33,22.17,6.67
"004-KRKH-L07-1-1","2024-08-01 00:00:00",9,"2024-08-01 09:00:00",50,9.75,3.25,19.50,6.50
"004-KRKH-L07-1-1","2024-08-01 00:00:00",10,"2024-08-01 10:00:00",50,7.33,4.08,14.67,8.17
"004-KRKH-L07-1-1","2024-08-01 00:00:00",11,"2024-08-01 11:00:00",50,8.92,4.08,17.83,8.17
"004-KRKH-L07-1-1","2024-08-01 00:00:00",12,"2024-08-01 12:00:00",50,6.50,2.67,13.00,5.33
"004-KRKH-L07-1-1","2024-08-01 00:00:00",13,"2024-08-01 13:00:00",50,9.67,4.25,19.33,8.50
"004-KRKH-L07-1-1","2024-08-01 00:00:00",14,"2024-08-01 14:00:00",50,11.75,2.92,23.50,5.83
"004-KRKH-L07-1-1","2024-08-01 00:00:00",15,"2024-08-01 15:00:00",50,17.50,4.83,35.00,9.67
"004-KRKH-L07-1-1","2024-08-01 00:00:00",16,"2024-08-01 16:00:00",50,12.83,5.00,25.67,10.00
"004-KRKH-L07-1-1","2024-08-01 00:00:00",17,"2024-08-01 17:00:00",50,8.92,2.83,17.83,5.67
