"Date","eNodeB Name","Object","Integrity","L.ChMeas.PRB.DL.Used.Avg","L.ChMeas.PRB.PUSCH.Avg","DL PRB Usage Rate(%)","UL PRB Usage Rate(%)","L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.UL.Avail","DL Average Throughput (Kbps)","UL Average Throughput (Kbps)","Average Cell DL Throughput-H (Mbps)"
"2024-08-01 00:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",4.3233,1.5576,4.3233,4.7763,100,100,27803.1869,7710.2602,26.3131
"2024-08-01 01:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",4.4746,1.2536,4.4746,4.4691,100,100,43003.8727,6384.8189,39.1296
"2024-08-01 02:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",3.4206,0.6457,3.4206,3.8769,100,100,37141.0219,1620.6346,33.6717
"2024-08-01 03:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",3.1197,0.5931,3.1197,3.8155,100,100,32080.6300,1606.7729,28.9740
"2024-08-01 04:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",3.5037,0.6388,3.5037,3.8720,100,100,46471.1523,2616.9665,42.5362
"2024-08-01 05:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",5.3541,0.7861,5.3541,4.0466,100,100,40345.9865,1837.1769,34.8219
"2024-08-01 06:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",5.8717,1.1931,5.8717,4.4745,100,100,41342.9975,2677.9586,37.7066
"2024-08-01 07:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",13.2182,2.2003,13.2182,5.5309,100,100,39290.7174,3223.5758,40.6366
"2024-08-01 08:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",8.9498,2.5989,8.9498,6.0177,100,100,30168.4810,2523.3835,29.8434
"2024-08-01 09:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",11.2407,2.4694,11.2407,5.8397,100,100,28997.6136,2514.9136,29.8621
"2024-08-01 10:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",7.7703,2.2975,7.7703,5.6532,100,100,24180.3214,2489.6428,27.0093
"2024-08-01 11:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",6.2290,1.4514,6.2290,4.7748,100,100,29831.5475,2637.4108,28.5018
"2024-08-01 12:00:00","004-055_WDHD_C1_Wade_Head","004-ABAU-L18-1-1","100%",10.5194,4.8395,10.5194,8.1862,100,100,27133.8132,9744.6073,27.0046
