tower_id,police,fire_station,hospital,weighted_population,unweighted_population,score
006-PIHA,0,0,0,329.9,834,1.48
001-KTIA,0,0,0,154.18,3051,0.69
003-DGVL,0,0,0,101.15,2118,0.46
002-OTPT,0,0,0,69.46,497,0.31
005-GLNR,0,0,0,17.88,460,0.08
005-PRMP,0,0,0,9.85,266,0.04
001-KRKR,0,0,0,8.23,264,0.04
001-KRKC,0,0,0,5.87,164,0.03
006-WTKV,0,0,0,5.05,118,0.02
006-WHNP,0,0,0,4.22,99,0.02
002-WHOS,0,0,0,1.88,46,0.01
005-WRPK,0,0,0,1.4,119,0.01
002-KNTH,0,0,0,1.86,33,0.01
002-WHNG,0,0,0,1.88,46,0.01
005-RBAY,0,0,0,0.0,0,0.0
005-NWST,0,0,0,0.0,0,0.0
002-MGKM,0,0,0,0.0,0,0.0
006-KSTG,0,0,0,0.0,0,0.0
