name,facility_type,latitude,longitude,utm_easting,utm_northing
Dargaville Police Station,Police station,-35.93924387,173.8675932,1678254.9848117009,6022442.49598248
Hikurangi Police Station,Police station,-35.59533572,174.2863791,1716530.880317016,6060171.723423744
Houhora Police Station,Police station,-34.81537101,173.1172406,1610722.3761614016,6147425.013645792
Kaeo Police Station,Police station,-35.1007791,173.781972,1671269.396457186,6115501.1587439515
Kaikohe Police Station,Police station,-35.40786582,173.7988999,1672538.1301452497,6081431.622518271
Kaitaia Police Station,Police station,-35.11767826,173.263584,1624018.019115963,6113874.956098076
Kamo Police Station,Police station,-35.68256058,174.3009894,1717726.451661987,6050479.588115297
Kawakawa Police Station,Police station,-35.38152796,174.0663104,1696850.644962864,6084123.739339274
Kerikeri Police Station,Police station,-35.22585319,173.9499542,1686447.3701447474,6101496.826447334
Kohukohu Police Station,Police station,-35.36162853,173.5444473,1649462.397867948,6086716.499254045
Mang?nui Police Station,Police station,-34.98826219,173.5313999,1648498.2837585055,6128129.649325225
Maungaturoto Police Station,Police station,-36.10887836,174.3583087,1722256.164535987,6003121.120477539
Northland District Headquarters,Police station,-35.72754374,174.3216823,1719531.8738257147,6045465.113084295
Onerahi Police Station,Police station,-35.75356539,174.3678796,1723669.912538708,6042521.517352278
Paihia Police Station,Police station,-35.2827929,174.0901002,1699132.0097726677,6095050.797942277
Rawene Police Station,Police station,-35.39399199,173.5045419,1645818.707034228,6083146.451208841
Ruak?k? Police Station,Police station,-35.87508899,174.4564986,1731481.9297024228,6028926.390307696
Ruawai Police Station,Police station,-36.13575534,174.0230461,1692047.9273847158,6000509.489256393
Russell Police Station,Police station,-35.26062647,174.1217527,1702038.3580508665,6097477.142210088
Waip? Police Station,Police station,-35.98519155,174.4484781,1730576.6335005146,6016724.082889769
Whang?rei Central Police Station,Police station,-35.72657974,174.3224027,1719598.471242789,6045571.160999505
Browns Bay Community Policing Centre,Police station,-36.71336736,174.7487491,1756185.9009136974,5935498.80606246
Glenfield Police Station,Police station,-36.7844024,174.7223712,1753688.0214838665,5927660.649594011
Helensville Police Station,Police station,-36.67881455,174.4506226,1729615.5511806065,5939776.585638981
Henderson Police Station,Police station,-36.87438729,174.6290061,1745186.1612001248,5917823.428025842
Kume?/Huapai Police Station,Police station,-36.7717163,174.5464558,1738012.6035790083,5929336.275038227
Mahurangi Police Station,Police station,-36.42068939,174.7237365,1754533.9016953676,5968008.943445325
Mangawhai Police Station,Police station,-36.12578044,174.5765203,1741867.5596931707,6000949.653017442
Massey Police Station,Police station,-36.83537616,174.6022801,1742876.6267881335,5922191.751127677
New Lynn Police Station,Police station,-36.90876056,174.6819848,1749841.0733971994,5913928.00012349
North Shore Police Station,Police station,-36.75143275,174.7309849,1754522.8592427645,5931304.538825521
?rewa Police Station,Police station,-36.58968798,174.6967705,1751785.7779704116,5949303.378771497
Takapuna Police Station,Police station,-36.78638632,174.771249,1758045.7266206578,5927360.8906788
Waitemat? District Headquarters,Police station,-36.87460078,174.6293397,1745215.491484746,5917799.235200585
Warkworth Police Station,Police station,-36.39788955,174.6612957,1748979.116790732,5970636.482399478
Wellsford Police Station,Police station,-36.29725302,174.5239054,1736833.5607217294,5982003.6633652095
Auckland Air Support Unit,Police station,-36.92959354,174.8125079,1761425.9524937896,5911403.603668231
Auckland Central Police Station,Police station,-36.8479387,174.7499467,1756019.7587389438,5920566.980490416
Auckland Maritime Unit,Police station,-36.84687843,174.7882606,1759438.2191731904,5920621.335327784
Avondale Police Station,Police station,-36.89320909,174.6965412,1751168.6332271933,5915630.390279273
Balmoral Police Station,Police station,-36.8895249,174.7474851,1755715.8160679163,5915957.20244902
Commercial Vehicle Safety Team - Area 1,Police station,-36.85067777,174.7742392,1758180.1513417382,5920223.131710418
Dog Base - Auckland,Police station,-36.89592628,174.8032343,1760670.5773181631,5915154.552163243
Glen Innes Police Station,Police station,-36.87817144,174.8568604,1765487.5312805334,5917032.743016236
Great Barrier Island Police Station,Police station,-36.24137824,175.4572052,1820805.769636242,5986478.492542943
"Harbour Bridge Centre, Auckland",Police station,-36.81767136,174.7489918,1755996.08468663,5923926.543786099
Mount Roskill Police Station,Police station,-36.90239913,174.7239091,1753589.0047161616,5914567.082638349
Mount Wellington Police Station,Police station,-36.89932365,174.8260004,1762692.0446987532,5914739.0368213
Newmarket Police Station,Police station,-36.86852729,174.7754843,1758254.3438367804,5918240.741236489
Onehunga Police Station,Police station,-36.92475003,174.7852812,1759010.9237698459,5911986.73901226
Piki Ki Te Ao,Police station,-36.94685279,174.8459678,1764369.163401413,5909431.531713542
Puawaitahi Multi Agency Service,Police station,-36.85901868,174.767867,1757594.8631897378,5919308.281368237
South Motorway Base Traffic Safety Branch,Police station,-36.89467521,174.8063364,1760949.6323311164,5915288.125117937
Waiheke Island Police Station,Police station,-36.7819373,175.007442,1779133.5278812558,5927438.140399238
Auckland Airport Police Station,Police station,-36.99951148,174.7854891,1758873.970062211,5903691.789037487
Beachlands Community Policing Base,Police station,-36.89049084,175.0102443,1779130.173253383,5915388.92100247
Clevedon Police Station,Police station,-36.99172086,175.0377973,1781345.4939860462,5904105.175293695
Counties Manukau Police Station,Police station,-36.99450653,174.8798391,1767281.0784461026,5904085.410553439
