Towername,population_covered
AKL-004-002-A,1545970.8447058713
AKL-004-003-E,1545970.8447058713
AKL-004-005-D,1545970.8447058713
AKL-004-006-C,1545970.8447058713
AKL-004-007-B,1545970.8447058713
AKL-004-009-D,1545970.8447058713
AKL-004-010-B,1545970.8447058713
AKL-004-013-A,1545970.8447058713
AKL-004-014-B,1545970.8447058713
AKL-004-015-E,1545970.8447058713
AKL-004-016-B,1545970.8447058713
AKL-004-017-D,1545970.8447058713
AKL-004-018-A,1545970.8447058713
AKL-004-022-B,1545970.8447058713
AKL-004-028-A,1545970.8447058713
AKL-004-029-A,1545970.8447058713
AKL-004-036-C,1545970.8447058713
AKL-004-041-B,1545970.8447058713
AKL-004-042-B,1545970.8447058713
AKL-004-043-D,1545970.8447058713
AKL-004-044-E,1545970.8447058713
AKL-004-046-C,1545970.8447058713
AKL-004-047-D,1545970.8447058713
AKL-004-048-C,1545970.8447058713
AKL-004-050-A,1545970.8447058713
AKL-004-053-B,1545970.8447058713
AKL-004-054-B,1545970.8447058713
AKL-004-055-A,1545970.8447058713
AKL-004-059-A,1545970.8447058713
AKL-004-061-A,1545970.8447058713
AKL-004-062-A,1545970.8447058713
AKL-004-063-A,1545970.8447058713
AKL-004-065-A,1545970.8447058713
AKL-004-066-A,1545970.8447058713
AKL-004-067-A,1545970.8447058713
AKL-004-071-B,1545970.8447058713
AKL-004-072-A,1545970.8447058713
AKL-004-075-A,1545970.8447058713
AKL-004-076-A,1545970.8447058713
AKL-004-078-A,1545970.8447058713
AKL-004-079-A,1545970.8447058713
AKL-004-080-A,1545970.8447058713
AKL-004-081-A,1545970.8447058713
AKL-004-082-A,1545970.8447058713
AKL-004-083-A,1545970.8447058713
AKL-004-084-A,1545970.8447058713
AKL-004-085-A,1545970.8447058713
AKL-004-086-A,1545970.8447058713
AKL-004-087-A,1545970.8447058713
AKL-004-088-A,1545970.8447058713
AKL-004-089-A,1545970.8447058713
AKL-004-091-A,1545970.8447058713
AKL-004-092-A,1545970.8447058713
AKL-004-093-A,1545970.8447058713
AKL-004-094-A,1545970.8447058713
AKL-004-095-A,1545970.8447058713
AKL-004-096-A,1545970.8447058713
AKL-004-101-A,1545970.8447058713
AKL-004-102-A,1545970.8447058713
AKL-004-103-A,1545970.8447058713
