name,facility_type,latitude,longitude,utm_easting,utm_northing
Chatham Islands Fire Station,Fire Station,-43.95343627,-176.5564106,2438114.9366885247,5079980.439378054
Houhora Fire Station,Fire Station,-34.82492176,173.1283268,1611734.923627681,6146364.66174116
Rangiputa Volunteer Rural Fire Force,Fire Station,-34.88041972,173.2984298,1627271.8140398646,6140177.1869606
Karikari Fire Station,Fire Station,-34.86839089,173.3814786,1634866.2880144694,6141485.369574672
Ahipara Volunteer Fire Brigade,Fire Station,-35.16645768,173.1548004,1614097.1324523205,6108486.189642976
Kaitaia Fire Station,Fire Station,-35.1108536,173.2608302,1623769.0715578445,6114632.4625077415
Broadwood Fire Station,Fire Station,-35.25981413,173.3906005,1635530.0046873433,6098074.002929954
Mangonui Fire Station,Fire Station,-34.9916901,173.5224351,1647678.1144495024,6127753.816966018
Taupo Bay Fire Station,Fire Station,-34.98784951,173.6816919,1662215.214627142,6128092.148743922
Kaeo Fire Station,Fire Station,-35.09997349,173.7782993,1670935.3552213514,6115593.123093298
Cavalli Fire Station,Fire Station,-35.04438162,173.9007061,1682147.6810893584,6121664.382942747
Rawhiti Fire Station,Fire Station,-35.2207149,174.2564597,1714348.4010512636,6101756.880242369
Russell Fire Station,Fire Station,-35.26290851,174.1243307,1702270.0039747052,6097221.3913351605
Paihia Volunteer Fire Brigade,Fire Station,-35.28139582,174.0905113,1699171.0997051622,6095205.334463768
Kawakawa Fire Station,Fire Station,-35.37979722,174.0636752,1696613.3499272082,6084318.271325022
Kerikeri Fire Station,Fire Station,-35.22818072,173.9493827,1686392.8936778912,6101239.187845351
Okaihau Fire Station,Fire Station,-35.32071002,173.7712371,1670101.675216067,6091117.685308127
Kaikohe Fire Station,Fire Station,-35.40703794,173.7995548,1672598.3371417765,6081522.959790899
Kaikohe Voluntary Rural Fire Force,Fire Station,-35.41079277,173.8018245,1672801.0499243953,6081104.852974584
Kohukohu Fire Station,Fire Station,-35.35992686,173.5452357,1649535.0631716514,6086904.8279026225
Rawene Fire Station,Fire Station,-35.39642534,173.5038163,1645751.438395525,6082876.916684187
Omapere Fire Station,Fire Station,-35.52223734,173.3891979,1635287.9219110755,6068970.661708078
Wekaweka Voluntary Rural Fire Force,Fire Station,-35.57884752,173.5958181,1653984.0498413984,6062598.557065561
Towai Fire Station,Fire Station,-35.49397276,174.1317154,1702648.6381250795,6071586.341492426
Whananaki Fire Station,Fire Station,-35.50989526,174.4603829,1732435.1117871113,6069428.641259387
Ngunguru Fire Station,Fire Station,-35.62620324,174.5053202,1736313.366239121,6056466.584212838
Whangarei Heads Volunteer Fire Brigade,Fire Station,-35.81535457,174.504718,1735937.0572301983,6035486.425519481
Onerahi Fire Station,Fire Station,-35.76525303,174.3667214,1723547.1184971128,6041226.581768008
Whangarei Station,Fire Station,-35.72013461,174.3208113,1719464.160292551,6046287.987103846
New Zealand Fire Service - Northland Fire Region,Fire Station,-35.71972374,174.3200351,1719394.5640069176,6046334.505163427
Kamo Fire Station,Fire Station,-35.68105671,174.2996328,1717605.8935374708,6050648.0196766555
Hikurangi Fire Station,Fire Station,-35.60111853,174.2867743,1716558.2962104334,6059529.847598747
Portland Fire Station,Fire Station,-35.80094266,174.3280851,1720000.6575236365,6037315.900355842
Maungakaramea Fire Station,Fire Station,-35.84446359,174.203021,1708640.4594569977,6032634.638996104
Ruakaka Fire Station,Fire Station,-35.90020513,174.4499581,1730850.1239386024,6026149.192411058
Waipu Volunteer Fire Brigade,Fire Station,-35.98306043,174.4483724,1730570.6161849196,6016960.6197858695
Mangawhai Fire Station,Fire Station,-36.10174426,174.5866924,1742826.5271431175,6003601.080322616
Kaiwaka Fire Station,Fire Station,-36.15982114,174.4437373,1729861.7679052232,5997359.311264349
Maungaturoto Fire Station,Fire Station,-36.10610586,174.3608237,1722486.848479331,6003425.497245529
Paparoa Fire Station,Fire Station,-36.10780322,174.22792,1710521.3003149107,6003396.505761641
Tinopai Fire Station,Fire Station,-36.24858901,174.2475174,1712084.5366189464,5987757.246470621
Ruawai Fire Station,Fire Station,-36.13626429,174.0219814,1691951.5346740438,6000454.043506878
Te Kopuru Volunteer Fire Brigade,Fire Station,-36.03185348,173.9215678,1683026.4127354315,6012125.728005506
Dargaville Fire Station,Fire Station,-35.94001984,173.8696451,1678439.2992949071,6022354.780348182
Wellsford Fire Station,Fire Station,-36.29791738,174.5241849,1736857.4983236252,5981929.569287933
Leigh Fire Station,Fire Station,-36.291927,174.8036324,1761963.9558062619,5982162.591050418
Matakana Fire Station,Fire Station,-36.33958603,174.7420096,1756334.5506225238,5976976.879857272
Warkworth Fire Station,Fire Station,-36.40107613,174.6637106,1749189.6016178974,5970279.245922638
Mahurangi East Volunteer Fire Brigade,Fire Station,-36.42338797,174.7264512,1754771.9403718314,5967705.217660233
Kawau Volunteer Fire Brigade,Fire Station,-36.42982483,174.8287941,1763934.0821459042,5966822.034481502
Puhoi Fire Station,Fire Station,-36.50917681,174.6569797,1748379.839222634,5958297.282752968
Ahuroa Volunteer Fire Brigade,Fire Station,-36.4992925,174.4957549,1733958.4344081196,5959630.200020399
Shelly Beach Volunteer Fire Brigade,Fire Station,-36.57199697,174.3775986,1723260.3689656565,5951722.67315228
Kaukapakapa Fire Station,Fire Station,-36.61870039,174.4961628,1733788.8799235197,5946382.987707943
Silverdale Fire Station,Fire Station,-36.60635149,174.690042,1751151.3046401902,5947465.340062939
Manly Fire Station,Fire Station,-36.62982263,174.7664912,1757941.3633950048,5944738.384358015
Helensville Fire Station,Fire Station,-36.67835553,174.451611,1729704.6426321156,5939826.171746214
Okiwi Volunteer Fire Brigade,Fire Station,-36.15251723,175.4057972,1816430.0060837464,5996453.4421632085
Kaitoke Fire Station,Fire Station,-36.24358833,175.4668554,1821666.8585374958,5986211.235179357
Tryphena Fire Station,Fire Station,-36.31268444,175.5005636,1824498.2907094755,5978467.211181199
East Coast Bays Fire Station,Fire Station,-36.70670064,174.7246316,1754045.0199306898,5936277.473914297
Greenhithe Volunteer Fire Brigade,Fire Station,-36.7763488,174.6704441,1749069.761996478,5928636.316661488
Albany Fire Station,Fire Station,-36.75215894,174.7040315,1752115.1238787922,5931267.1460283585
Takapuna Fire Station,Fire Station,-36.77682039,174.7448442,1755708.8168220182,5928465.480583877
Birkenhead Fire Station,Fire Station,-36.81099189,174.7159394,1753061.1247185732,5924721.030202461
West Harbour Fire Station,Fire Station,-36.81827839,174.616034,1744135.2424459185,5924067.96390292
Devonport Fire Station,Fire Station,-36.82194142,174.7968631,1760257.307735607,5923373.591759449
Oneroa Fire Station,Fire Station,-36.78344398,175.0099594,1779354.680837149,5927266.258125908
Onetangi Fire Station,Fire Station,-36.7934265,175.0766533,1785282.6578480692,5926031.540505478
Beachlands Fire Station,Fire Station,-36.88639489,174.9996986,1778199.8767407099,5915863.117594396
Howick Fire Station,Fire Station,-36.89893681,174.9097487,1770155.4278390426,5914635.834573833
Mount Wellington Fire Station,Fire Station,-36.89765324,174.8541204,1765201.3124135202,5914876.033329675
Kumeu Fire Station,Fire Station,-36.77223838,174.543913,1737784.7225347308,5929282.019974071
Waitakere Fire Station,Fire Station,-36.84873662,174.5442482,1737677.552584933,5920794.73276438
Bethells Valley Fire Station,Fire Station,-36.86876175,174.4907372,1732871.7848808032,5918648.918723425
Muriwai Fire Station,Fire Station,-36.82454466,174.4333953,1727834.111296712,5923632.6449098755
Kawakawa Bay Fire Station,Fire Station,-36.94979984,175.1690301,1793131.4796080454,5908498.3967017885
Orere Point Fire Station,Fire Station,-36.94980145,175.1690294,1793131.4132043205,5908498.219484188
Clevedon Fire Brigade,Fire Station,-36.98860094,175.0420221,1781728.9334050666,5904443.280267509
Piha Fire Station,Fire Station,-36.9539981,174.474383,1731267.841852057,5909215.27107596
Karekare Fire Station,Fire Station,-36.98857005,174.501411,1733613.9008542234,5905342.164793093
Huia Fire Station,Fire Station,-37.00141123,174.5642335,1739181.5833761422,5903827.488604402
Laingholm Fire Station,Fire Station,-36.96342298,174.6289224,1745009.9635323996,5907945.550443473
Titirangi Fire Station,Fire Station,-36.94002341,174.6549768,1747374.6481779697,5910501.640769319
Waiatarua Fire Station,Fire Station,-36.93385463,174.5777705,1740510.304826102,5911302.632017946
Glen Eden Fire Station,Fire Station,-36.90899299,174.6516892,1747141.504858343,5913949.382687916
Henderson Fire Station,Fire Station,-36.88428718,174.631601,1745398.6754804184,5916721.1475198865
Te Atatu Fire Station,Fire Station,-36.86075527,174.6512026,1747190.7485504197,5919301.823339708
Balmoral Fire Station,Fire Station,-36.88628696,174.7449498,1755496.4486580861,5916320.572570557
Mt Roskill Fire Station,Fire Station,-36.91579883,174.737924,1754810.6586367572,5913057.781884771
Avondale Fire Station,Fire Station,-36.89723914,174.701371,1751591.050230323,5915175.612428332
Grey Lynn Fire Station,Fire Station,-36.8645478,174.7390462,1755014.2619955735,5918742.035650725
Auckland City Fire Station,Fire Station,-36.85622394,174.7590362,1756813.2912957415,5919632.8844389245
Parnell Fire Station,Fire Station,-36.84902195,174.7843094,1759081.4619242852,5920390.110108772
Remuera Fire Station,Fire Station,-36.88057574,174.7954565,1760009.5466377018,5916870.712786068
Ellerslie Fire Station,Fire Station,-36.8994636,174.8048453,1760806.7081514944,5914759.383116817
