Index,sitename,antlat,antlng,utm_easting,utm_northing
1,NTH-001-004-F,-35.373025,173.830302,757126.9544,6081910.392
2,NTH-001-008-D,-35.255654,174.123994,238341.6096,6094812.721
3,NTH-001-013-A,-35.407037,173.534477,730148.9852,6078866.196
4,NTH-001-020-B,-35.219821,173.884997,762592.2193,6098764.553
5,NTH-001-021-H,-35.228865,173.948418,768336.6852,6097591.451
6,NTH-001-022-E,-35.192097,173.98505,771794.2439,6101571.195
7,NTH-001-024-A,-35.369818,174.038359,230927.066,6081916.688
8,NTH-001-025-A,-35.351717,174.07752,234426.6436,6084030.886
9,NTH-001-030-E,-35.281143,174.091353,235454.0526,6091898.108
10,NTH-001-034-A,-34.753818,173.105989,692764.0933,6152236.991
11,NTH-001-035-B,-35.108198,173.272258,707092.5235,6112595.624
12,NTH-001-037-A,-34.955586,173.540205,731949.4032,6128935.209
13,NTH-001-044-A,-35.16729,173.523397,729819.7375,6105488.888
14,NTH-001-045-A,-35.175535,173.146805,695495.7478,6105380.003
15,NTH-001-055-A,-34.983382,173.693849,745899.155,6125484.083
16,NTH-001-061-A,-35.768568,173.696382,743755.296,6038366.234
17,NTH-001-062-A,-35.575415,173.571968,733067.0249,6060098.04
18,NTH-001-063-A,-35.050471,173.35043,714369.4824,6118833.839
19,NTH-001-064-A,-35.342141,173.67981,743544.4735,6085717.724
20,NTH-001-065-A,-35.2669,173.22627,702506.0928,6095085.826
21,NTH-001-066-A,-34.52785,172.846292,669449.7829,6177766.745
22,NTH-001-067-A,-35.261075,173.389343,717357.9049,6095386.787
23,NTH-001-069-A,-35.449495,173.488847,725885.8956,6074261.291
24,NTH-001-070-A,-34.466418,172.762499,661877.2361,6184717.259
25,NTH-001-071-A,-35.510647,173.839295,757505.0401,6066617.907
26,NTH-001-072-A,-35.190663,174.026465,229249.7738,6101761.756
27,NTH-001-073-A,-35.113368,173.439063,722284.0277,6111662.354
28,NTH-001-074-A,-35.33198,173.557891,732490.9371,6087138.208
29,NTH-001-075-A,-35.14027,173.384921,717277.2972,6108797.654
30,NTH-001-076-A,-35.331849,173.299729,709022.0625,6087728.44
31,NTH-001-077-A,-35.206222,173.340487,713056.1284,6101577.706
32,NTH-001-078-A,-35.482893,173.613824,737133.1022,6070262.821
