tower_id,police,fire_station,hospital,weighted_population,unweighted_population,score
006-KLST,0,0,0,240181.13,401796,108.08
010-VCKB,0,0,0,91224.7,255548,41.05
030-FLXE,0,0,0,88553.31,130123,39.85
005-SNAP,0,0,0,87767.52,371598,39.5
005-SUNS,0,0,0,70782.89,203674,31.85
008-HIBR,0,0,0,57780.13,347787,26.0
047-THNE,0,0,0,51347.77,202715,23.11
013-NEWS,0,0,0,51080.61,179479,22.99
028-RIVD,0,0,0,41987.56,42971,18.89
002-WCAU,0,0,0,33888.15,50030,15.25
045-TEMA,0,0,0,29353.29,65740,13.21
001-KWKA,0,0,0,27756.26,39736,12.49
023-WELB,0,0,0,27457.87,127743,12.36
048-MENS,0,0,0,27027.12,29139,12.16
013-PKTH,0,0,0,26728.27,124723,12.03
047-THRN,0,0,0,24097.47,166675,10.84
010-VGMU,0,0,0,16203.97,28624,7.29
019-TKSH,0,0,0,15530.05,15614,6.99
039-HIMI,0,0,0,14631.32,32744,6.58
022-VOMR,0,0,0,14198.66,74980,6.39
007-BTAU,0,0,0,13463.1,31941,6.06
008-GNMT,0,0,0,13036.84,165457,5.87
015-MOAU,0,0,0,9446.58,10815,4.25
012-WHIE,0,0,0,8671.9,9161,3.9
040-CNPK,0,0,0,6507.55,52596,2.93
008-FLBS,0,0,0,4243.19,67646,1.91
022-VKMS,0,0,0,4225.09,38933,1.9
008-PUHW,0,0,0,4072.76,101422,1.83
001-COPB,0,0,0,3868.17,3948,1.74
040-CLVE,0,0,0,2301.96,44955,1.04
033-VFZY,0,0,0,1926.99,12609,0.87
045-RWIV,0,0,0,1248.26,19549,0.56
033-TNBH,0,0,0,1191.13,13249,0.54
001-HHRC,0,0,0,1175.23,1183,0.53
033-WLBN,0,0,0,1093.01,11365,0.49
036-RWMH,0,0,0,179.75,249,0.08
028-RHKW,0,0,0,176.02,414,0.08
028-RWHH,0,0,0,162.06,255,0.07
028-RAWM,0,0,0,108.79,154,0.05
