tower_id,police,fire_station,hospital,weighted_population,unweighted_population,score
004-OWAU,1,2,0,32984.86291888165,59872.28999999999,39.984862918881646
003-MNGW,2,3,0,16454.41930704302,21544.79,28.45441930704302
006-ALBN,0,1,0,14548.50817986922,64781.54,16.548508179869224
001-RWNE,2,2,1,1875.8954240760354,2144.2700000000004,15.875895424076035
004-MKRU,0,2,0,8568.06727081623,16765.11,12.568067270816229
002-TTKK,0,1,0,8109.444619534078,21415.940000000002,10.109444619534077
002-HIKU,1,1,0,4317.339547544155,5932.98,9.317339547544154
001-COPB,1,1,0,3868.1653216424543,3948.81,8.868165321642454
002-OTAN,1,0,0,4227.724985712193,14305.57,7.227724985712193
007-MCMT,1,1,0,1223.593244691156,3308.0600000000004,6.223593244691156
002-MGKM,0,1,0,3615.1158838856727,4853.74,5.615115883885673
004-WELS,0,1,0,1483.450966259129,4456.369999999999,3.483450966259129
002-MTPR,0,1,0,727.6064506601385,1345.6999999999998,2.7276064506601383
002-TPNG,0,0,0,1658.217753946486,15070.880000000001,1.658217753946486
004-WTKI,0,0,0,1479.8297862758063,5459.5,1.4798297862758063
